Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.38320e-01,0.02,0.08
5.38322e-01,0.02,-3.8147e-08
5.38323e-01,0.02,0.06
5.38325e-01,0.04,-3.8147e-08
5.38326e-01,0.04,0.08
5.38328e-01,0.02,-3.8147e-08
5.38330e-01,0.04,0.06
5.38331e-01,0.02,-3.8147e-08
5.38333e-01,0.02,0.06
5.38334e-01,0.04,-3.8147e-08
5.38336e-01,0.02,0.06
5.38338e-01,0.02,-3.8147e-08
5.38339e-01,0.02,0.08
5.38341e-01,0.04,-3.8147e-08
5.38342e-01,0.02,0.06
5.38344e-01,0.04,-3.8147e-08
5.38346e-01,0.04,0.06
5.38347e-01,0.02,-3.8147e-08
5.38349e-01,0.04,0.06
5.38350e-01,0.04,-3.8147e-08
5.38352e-01,0.04,0.06
5.38354e-01,0.04,-3.8147e-08
5.38355e-01,0.02,0.06
5.38357e-01,0.02,-3.8147e-08
5.38358e-01,0.04,0.08
5.38360e-01,0.02,-0.02
5.38362e-01,0.02,0.08
5.38363e-01,0.02,-3.8147e-08
5.38365e-01,0.04,0.06
5.38366e-01,0.02,-3.8147e-08
5.38368e-01,0.02,0.08
5.38370e-01,0.04,-3.8147e-08
5.38371e-01,0.04,0.06
5.38373e-01,0.04,-3.8147e-08
5.38374e-01,0.04,0.06
5.38376e-01,0.04,-3.8147e-08
5.38378e-01,0.02,0.06
5.38379e-01,0.04,-3.8147e-08
5.38381e-01,0.02,0.06
5.38382e-01,0.04,-3.8147e-08
5.38384e-01,0.04,0.06
5.38386e-01,0.04,-3.8147e-08
5.38387e-01,0.02,0.06
5.38389e-01,0.02,-3.8147e-08
5.38390e-01,0.04,0.06
5.38392e-01,0.04,-3.8147e-08
5.38394e-01,0.04,0.06
5.38395e-01,0.04,-3.8147e-08
5.38397e-01,0.04,0.08
5.38398e-01,0.04,-3.8147e-08
5.38400e-01,0.02,0.06
5.38402e-01,0.06,-3.8147e-08
5.38403e-01,0.04,0.06
5.38405e-01,0.02,-3.8147e-08
5.38406e-01,0.04,0.06
5.38408e-01,0.02,-3.8147e-08
5.38410e-01,0.04,0.06
5.38411e-01,0.04,-3.8147e-08
5.38413e-01,0.02,0.08
