Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.279152e-01,0.04,0.06
6.279154e-01,0.04,-3.8147e-08
6.279155e-01,0.04,0.06
6.279157e-01,0.04,-3.8147e-08
6.279158e-01,0.04,0.06
6.279160e-01,0.02,-3.8147e-08
6.279162e-01,0.02,0.06
6.279163e-01,-3.8147e-08,-3.8147e-08
6.279165e-01,0.04,0.06
6.279166e-01,0.04,-3.8147e-08
6.279168e-01,0.02,0.06
6.279170e-01,0.04,-3.8147e-08
6.279171e-01,0.04,0.06
6.279173e-01,0.04,-3.8147e-08
6.279174e-01,0.04,0.06
6.279176e-01,0.02,-3.8147e-08
6.279178e-01,0.02,0.06
6.279179e-01,0.02,-3.8147e-08
6.279181e-01,0.04,0.06
6.279182e-01,0.04,-3.8147e-08
6.279184e-01,0.04,0.06
6.279186e-01,0.04,-3.8147e-08
6.279187e-01,0.04,0.08
6.279189e-01,0.04,-3.8147e-08
6.279190e-01,0.02,0.06
6.279192e-01,0.04,-3.8147e-08
6.279194e-01,0.04,0.06
6.279195e-01,0.02,-3.8147e-08
6.279197e-01,0.04,0.06
6.279198e-01,0.02,-3.8147e-08
6.279200e-01,0.04,0.06
6.279202e-01,-3.8147e-08,-3.8147e-08
6.279203e-01,0.04,0.06
6.279205e-01,0.04,-3.8147e-08
6.279206e-01,0.04,0.06
6.279208e-01,0.04,-3.8147e-08
6.279210e-01,0.04,0.06
6.279211e-01,0.04,-3.8147e-08
6.279213e-01,0.04,0.06
6.279214e-01,0.02,-3.8147e-08
6.279216e-01,0.04,0.06
6.279218e-01,0.02,-3.8147e-08
6.279219e-01,0.02,0.06
6.279221e-01,0.04,-3.8147e-08
6.279222e-01,0.02,0.06
6.279224e-01,0.04,-3.8147e-08
6.279226e-01,0.02,0.06
6.279227e-01,0.04,-3.8147e-08
6.279229e-01,0.04,0.06
6.279230e-01,0.04,-3.8147e-08
6.279232e-01,0.04,0.06
6.279234e-01,0.04,-3.8147e-08
6.279235e-01,0.04,0.06
6.279237e-01,0.04,-3.8147e-08
6.279238e-01,0.04,0.06
6.279240e-01,0.04,-3.8147e-08
6.279242e-01,0.02,0.06
6.279243e-01,0.02,-3.8147e-08
6.279245e-01,0.04,0.06
6.279246e-01,0.02,-3.8147e-08
6.279248e-01,0.02,0.06
6.279250e-01,0.02,-3.8147e-08
6.279251e-01,0.02,0.06
6.279253e-01,0.04,-3.8147e-08
6.279254e-01,0.04,0.06
6.279256e-01,0.02,-3.8147e-08
6.279258e-01,0.04,0.06
6.279259e-01,0.04,-3.8147e-08
6.279261e-01,0.02,0.06
6.279262e-01,0.02,-3.8147e-08
6.279264e-01,0.04,0.06
6.279266e-01,0.02,-3.8147e-08
6.279267e-01,0.04,0.06
6.279269e-01,0.02,-3.8147e-08
6.279270e-01,0.04,0.06
6.279272e-01,0.04,-3.8147e-08
6.279274e-01,0.04,0.06
6.279275e-01,0.02,-3.8147e-08
6.279277e-01,0.04,0.06
6.279278e-01,0.06,-3.8147e-08
6.279280e-01,0.04,0.06
6.279282e-01,0.02,-3.8147e-08
6.279283e-01,0.04,0.06
6.279285e-01,0.06,-3.8147e-08
6.279286e-01,0.06,0.06
6.279288e-01,0.04,-3.8147e-08
6.279290e-01,0.04,0.06
6.279291e-01,0.06,-3.8147e-08
6.279293e-01,0.06,0.08
6.279294e-01,0.04,-0.02
6.279296e-01,0.04,0.08
6.279298e-01,0.02,-3.8147e-08
6.279299e-01,0.04,0.06
6.279301e-01,0.04,-3.8147e-08
6.279302e-01,0.04,0.06
6.279304e-01,0.02,-3.8147e-08
6.279306e-01,0.04,0.06
6.279307e-01,0.04,-3.8147e-08
6.279309e-01,0.04,0.06
6.279310e-01,0.04,-3.8147e-08
6.279312e-01,0.04,0.06
6.279314e-01,0.04,-3.8147e-08
6.279315e-01,0.02,0.06
6.279317e-01,0.04,-3.8147e-08
6.279318e-01,0.02,0.06
6.279320e-01,0.02,-3.8147e-08
6.279322e-01,0.02,0.06
6.279323e-01,0.04,-3.8147e-08
6.279325e-01,0.04,0.06
6.279326e-01,0.02,-3.8147e-08
6.279328e-01,0.02,0.06
6.279330e-01,0.04,-3.8147e-08
6.279331e-01,0.04,0.06
6.279333e-01,0.04,-3.8147e-08
6.279334e-01,0.04,0.06
6.279336e-01,0.04,-3.8147e-08
6.279338e-01,0.04,0.06
6.279339e-01,0.04,-3.8147e-08
6.279341e-01,0.04,0.06
6.279342e-01,0.02,-3.8147e-08
6.279344e-01,0.02,0.06
6.279346e-01,0.04,-3.8147e-08
6.279347e-01,0.04,0.06
6.279349e-01,0.04,-3.8147e-08
6.279350e-01,0.04,0.06
6.279352e-01,0.04,-3.8147e-08
6.279354e-01,0.04,0.06
6.279355e-01,0.04,-3.8147e-08
6.279357e-01,0.04,0.06
6.279358e-01,0.04,-3.8147e-08
6.279360e-01,0.02,0.06
6.279362e-01,0.02,-3.8147e-08
6.279363e-01,0.04,0.06
6.279365e-01,0.04,-3.8147e-08
6.279366e-01,0.02,0.06
6.279368e-01,0.04,-3.8147e-08
6.279370e-01,0.04,0.06
6.279371e-01,0.04,-3.8147e-08
6.279373e-01,0.06,0.06
6.279374e-01,0.02,-3.8147e-08
6.279376e-01,0.04,0.06
6.279378e-01,0.04,-0.02
6.279379e-01,0.06,0.06
6.279381e-01,0.04,-3.8147e-08
6.279382e-01,0.04,0.06
6.279384e-01,0.04,-3.8147e-08
6.279386e-01,0.04,0.06
6.279387e-01,0.04,-3.8147e-08
6.279389e-01,0.04,0.08
6.279390e-01,0.04,-3.8147e-08
6.279392e-01,0.04,0.06
6.279394e-01,0.04,-3.8147e-08
6.279395e-01,0.04,0.06
6.279397e-01,0.04,-3.8147e-08
6.279398e-01,0.04,0.06
6.279400e-01,0.04,-3.8147e-08
6.279402e-01,0.04,0.06
6.279403e-01,0.04,-3.8147e-08
6.279405e-01,0.02,0.06
6.279406e-01,0.06,0.02
6.279408e-01,0.06,0.06
6.279410e-01,0.02,-3.8147e-08
6.279411e-01,0.02,0.06
6.279413e-01,0.04,-3.8147e-08
6.279414e-01,0.02,0.06
6.279416e-01,0.04,-3.8147e-08
6.279418e-01,0.04,0.06
6.279419e-01,0.04,-3.8147e-08
6.279421e-01,0.04,0.06
6.279422e-01,0.04,-3.8147e-08
6.279424e-01,0.02,0.06
6.279426e-01,0.04,-3.8147e-08
6.279427e-01,0.04,0.06
6.279429e-01,0.04,-3.8147e-08
6.279430e-01,0.04,0.06
6.279432e-01,0.02,-3.8147e-08
6.279434e-01,0.04,0.06
6.279435e-01,0.04,-3.8147e-08
6.279437e-01,0.02,0.06
6.279438e-01,0.02,0.02
6.279440e-01,0.04,0.06
6.279442e-01,0.04,-3.8147e-08
6.279443e-01,0.04,0.06
6.279445e-01,0.04,0.02
6.279446e-01,0.04,0.06
6.279448e-01,0.04,-3.8147e-08
6.279450e-01,0.04,0.06
6.279451e-01,0.04,0.02
6.279453e-01,0.06,0.06
6.279454e-01,0.04,-3.8147e-08
6.279456e-01,0.04,0.06
6.279458e-01,0.02,0.02
6.279459e-01,0.02,0.06
6.279461e-01,0.04,0.02
6.279462e-01,0.02,0.06
6.279464e-01,0.04,-3.8147e-08
6.279466e-01,0.04,0.06
6.279467e-01,0.06,0.02
6.279469e-01,0.04,0.06
6.279470e-01,0.04,-3.8147e-08
6.279472e-01,0.04,0.06
6.279474e-01,0.04,-3.8147e-08
6.279475e-01,0.04,0.06
6.279477e-01,0.02,-3.8147e-08
6.279478e-01,0.02,0.06
6.279480e-01,0.04,-3.8147e-08
6.279482e-01,0.04,0.06
6.279483e-01,0.04,-3.8147e-08
6.279485e-01,0.04,0.06
6.279486e-01,0.04,-3.8147e-08
6.279488e-01,0.04,0.06
6.279490e-01,0.04,-3.8147e-08
6.279491e-01,0.06,0.06
6.279493e-01,0.04,-3.8147e-08
6.279494e-01,0.02,0.06
6.279496e-01,0.04,-3.8147e-08
6.279498e-01,0.04,0.06
6.279499e-01,0.04,-3.8147e-08
6.279501e-01,0.04,0.06
6.279502e-01,-3.8147e-08,-3.8147e-08
6.279504e-01,0.04,0.06
6.279506e-01,0.04,-3.8147e-08
6.279507e-01,0.04,0.06
6.279509e-01,0.02,-3.8147e-08
