Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.191016e-01,0.48,0.46
6.191018e-01,0.48,0.5
6.191019e-01,0.48,0.44
6.191021e-01,0.48,0.5
6.191022e-01,0.46,0.44
6.191024e-01,0.48,0.5
6.191026e-01,0.48,0.44
6.191027e-01,0.46,0.5
6.191029e-01,0.46,0.44
6.191030e-01,0.48,0.5
6.191032e-01,0.48,0.44
6.191034e-01,0.46,0.5
6.191035e-01,0.48,0.44
6.191037e-01,0.46,0.5
6.191038e-01,0.46,0.44
6.191040e-01,0.48,0.5
6.191042e-01,0.48,0.46
6.191043e-01,0.48,0.5
6.191045e-01,0.46,0.44
6.191046e-01,0.46,0.5
6.191048e-01,0.48,0.44
6.191050e-01,0.48,0.5
6.191051e-01,0.46,0.44
6.191053e-01,0.48,0.5
6.191054e-01,0.46,0.44
6.191056e-01,0.48,0.5
6.191058e-01,0.46,0.44
6.191059e-01,0.46,0.5
6.191061e-01,0.48,0.44
6.191062e-01,0.46,0.5
6.191064e-01,0.48,0.44
6.191066e-01,0.48,0.48
6.191067e-01,0.48,0.44
6.191069e-01,0.46,0.5
6.191070e-01,0.46,0.44
6.191072e-01,0.48,0.5
6.191074e-01,0.46,0.44
6.191075e-01,0.48,0.5
6.191077e-01,0.44,0.44
6.191078e-01,0.46,0.5
6.191080e-01,0.48,0.44
6.191082e-01,0.46,0.5
6.191083e-01,0.46,0.44
6.191085e-01,0.46,0.5
6.191086e-01,0.48,0.44
6.191088e-01,0.46,0.5
6.191090e-01,0.46,0.44
6.191091e-01,0.46,0.5
6.191093e-01,0.46,0.44
6.191094e-01,0.48,0.5
6.191096e-01,0.46,0.44
6.191098e-01,0.46,0.5
6.191099e-01,0.48,0.44
6.191101e-01,0.48,0.5
6.191102e-01,0.48,0.42
6.191104e-01,0.48,0.5
6.191106e-01,0.48,0.44
6.191107e-01,0.46,0.5
6.191109e-01,0.46,0.44
6.191110e-01,0.46,0.5
6.191112e-01,0.46,0.44
6.191114e-01,0.46,0.5
6.191115e-01,0.48,0.44
6.191117e-01,0.48,0.5
6.191118e-01,0.48,0.44
6.191120e-01,0.48,0.5
6.191122e-01,0.46,0.44
6.191123e-01,0.46,0.5
6.191125e-01,0.46,0.44
6.191126e-01,0.46,0.5
6.191128e-01,0.46,0.44
6.191130e-01,0.46,0.5
6.191131e-01,0.46,0.44
6.191133e-01,0.46,0.5
6.191134e-01,0.48,0.44
